策略,策略名称,回测天数,年化收益率(%),累计收益率(%),最大回撤(%),最大回撤起始日,最大回撤结束日,夏普比率,卡玛比率,索提诺比率,波动率(年化%),期末总资产(元),总交易次数,买入次数,卖出次数,盈利次数,亏损次数,胜率(%),平均盈利(%),平均亏损(%),盈亏比,总手续费(元),转换次数,买入触发次数,止盈触发次数,买入持有收益率(%),超额收益(%),纯货币基金收益率(%)
买Q0.15-0.70_卖Q0.85-0.90_4买2卖_基80000_增10000,广发约定净值转换,429,4.16,7.18,-0.96,2026-06-16,2026-06-30,0.724,4.31,0.655,1.51,1071834.11,48,16,32,35,0,100.0,3.67,0,0,0.0,48,16,32,3.63,3.55,2.35
买Q0.05-0.70_卖Q0.85-0.90_4买2卖_基80000_增10000,广发约定净值转换,429,4.16,7.18,-0.96,2026-06-16,2026-06-30,0.724,4.31,0.655,1.51,1071834.11,48,16,32,35,0,100.0,3.67,0,0,0.0,48,16,32,3.63,3.55,2.35
买Q0.15-0.80_卖Q0.85-0.95_5买2卖_基80000_增10000,广发约定净值转换,429,4.15,7.16,-1.65,2026-06-12,2026-06-30,0.575,2.512,0.515,1.9,1071666.05,49,17,32,37,0,100.0,3.18,0,0,0.0,49,17,32,3.63,3.53,2.35
买Q0.05-0.70_卖Q0.75-0.90_4买3卖_基80000_增20000,广发约定净值转换,429,4.15,7.16,-1.01,2026-06-16,2026-06-30,0.669,4.108,0.606,1.63,1071703.77,54,18,36,39,0,100.0,3.08,0,0,0.0,54,18,36,3.63,3.53,2.35
买Q0.15-0.70_卖Q0.75-0.90_4买3卖_基80000_增20000,广发约定净值转换,429,4.15,7.16,-1.01,2026-06-16,2026-06-30,0.669,4.108,0.606,1.63,1071703.77,54,18,36,39,0,100.0,3.08,0,0,0.0,54,18,36,3.63,3.53,2.35
买Q0.05-0.80_卖Q0.85-0.90_4买2卖_基80000_增10000,广发约定净值转换,429,4.12,7.12,-0.96,2026-06-16,2026-06-30,0.702,4.271,0.642,1.51,1071224.72,48,16,32,35,0,100.0,3.63,0,0,0.0,48,16,32,3.63,3.49,2.35
买Q0.15-0.80_卖Q0.85-0.90_5买2卖_基80000_增10000,广发约定净值转换,429,4.11,7.1,-1.34,2026-06-16,2026-06-30,0.626,3.074,0.541,1.68,1071043.46,50,17,33,38,0,100.0,3.33,0,0,0.0,50,17,33,3.63,3.47,2.35
买Q0.15-0.70_卖Q0.75-0.95_5买3卖_基80000_增10000,广发约定净值转换,429,4.1,7.08,-1.16,2026-06-16,2026-06-30,0.636,3.539,0.574,1.64,1070852.7,56,19,37,42,0,100.0,3.07,0,0,0.0,56,19,37,3.63,3.45,2.35
买Q0.05-0.70_卖Q0.75-0.95_5买3卖_基80000_增10000,广发约定净值转换,429,4.1,7.08,-1.16,2026-06-16,2026-06-30,0.636,3.539,0.574,1.64,1070852.7,56,19,37,42,0,100.0,3.07,0,0,0.0,56,19,37,3.63,3.45,2.35
买Q0.05-0.70_卖Q0.85-0.90_4买3卖_基80000_增10000,广发约定净值转换,429,4.09,7.05,-0.96,2026-06-16,2026-06-30,0.681,4.234,0.61,1.51,1070608.49,48,16,32,35,0,100.0,3.59,0,0,0.0,48,16,32,3.63,3.42,2.35
